Symbol	ExpMean	Exp Samples A	Exp Samples B	log2FC	lfcSE	Stat	p-value	padj
ENSMUSG00000032207.10	Lipc	12.978151	19.2506	6.705702	-1.39396635455084	0.30138750089451	-6.41474328872038	1.41060354488286e-10	4.1925590577475e-08
ENSMUSG00000032076.19	Cadm1	38.2327	47.2698	29.1956	-0.67678250890757	0.151332622361567	-6.40383481657728	1.51522042876468e-10	4.46467536682558e-08
ENSMUSG00000026822.14	Lcn2	1211.0514	623.9868	1798.116	1.52539058410521	0.201089339648112	6.40244229265683	1.52910931550264e-10	4.46709029092995e-08
ENSMUSG00000063727.3	Tnfrsf11b	9.787591	12.431022	7.14416	-0.721731277248365	0.178695924606589	-6.35566789059125	2.07522950682625e-10	6.01113089350181e-08
ENSMUSG00000024529.13	Lox	28.59363	39.13058	18.05668	-1.07440520832134	0.223324410447421	-6.34919270808633	2.16447757415283e-10	6.21696163735662e-08
ENSMUSG00000022197.16	Pdzd2	29.03819	37.95914	20.11724	-0.883540542765722	0.18513231952007	-6.34459406859248	2.23012686818382e-10	6.35214469621025e-08
ENSMUSG00000023903.7	Mmp25	9.849442	4.978614	14.72027	1.39474302286165	0.19470375488206	6.33706202262639	2.34187737995513e-10	6.61531973941044e-08
ENSMUSG00000029718.14	Pcolce	57.43353	71.56104	43.30602	-0.711692398149792	0.193071344030779	-6.32987917197813	2.45353252783044e-10	6.87391326239709e-08
ENSMUSG00000021390.6	Ogn	17.11484	21.50364	12.72604	-0.713242914505533	0.168929778927213	-6.32458183769906	2.53919253140082e-10	7.05606509945367e-08
ENSMUSG00000068816.3	Olfr152	165.99531	83.52622	248.4644	1.56136311003489	0.195075705043703	6.31884000628412	2.63533939310363e-10	7.26418552066791e-08
ENSMUSG00000068220.6	Lgals1	94.67959	129.05882	60.30036	-1.08519678803957	0.215585577462324	-6.30440604571226	2.89301150062018e-10	7.91065064729583e-08
ENSMUSG00000028756.12	Pink1	37.09892	49.66934	24.5285	-0.989004266409397	0.208337594683257	-6.29734388833813	3.02789047721742e-10	8.21375369137233e-08
ENSMUSG00000008193.13	Spib	11.970478	17.16726	6.773696	-1.22466825209479	0.262966429557584	-6.29579083787138	3.05836540245466e-10	8.23109680755119e-08
ENSMUSG00000030474.9	Siglece	14.295009	7.389378	21.20064	1.40396551083206	0.190656212094566	6.2895909661745	3.18303544635644e-10	8.4459787991384e-08
ENSMUSG00000056174.8	Col8a2	7.517939	8.67642	6.359458	-0.394873869682522	0.184461106091894	-6.289367129972	3.187628042975e-10	8.4459787991384e-08
ENSMUSG00000020473.13	Aebp1	24.75196	31.80906	17.69486	-0.811452592995654	0.179982404662421	-6.27771016081641	3.43595660325444e-10	9.0339228230182e-08
ENSMUSG00000030413.7	Pglyrp1	136.72135	80.2345	193.2082	1.25743964650076	0.173582771188984	6.2634998153421	3.76431601437062e-10	9.82170392146471e-08
ENSMUSG00000019916.14	P4ha1	23.8922	30.76244	17.02196	-0.817565823272543	0.175708617225351	-6.24231611865492	4.31138486668128e-10	1.11638738441792e-07
ENSMUSG00000038587.9	Akap12	10.995744	14.42515	7.566338	-0.848534011209523	0.203480307584669	-6.22351919871751	4.86125298764377e-10	1.24930546705011e-07
ENSMUSG00000020125.7	Elane	279.3847	169.7964	388.973	1.19109667508419	0.146686015365884	6.18950647988603	6.03528720708443e-10	1.53944863237422e-07
ENSMUSG00000005973.6	Rcn1	16.826641	22.44506	11.208222	-0.941430869009051	0.21264554859773	-6.15395463401025	7.55743106379851e-10	1.9134295834121e-07
ENSMUSG00000009350.13	Mpo	473.3033	289.1954	657.4112	1.18196422627678	0.140667119557048	6.14130871836358	8.18443411363139e-10	2.05694086767589e-07
